商品名称,价格,运费,销量,位置,链接
大龙燚随身锅自热小火锅懒人即食方便速食网红麻辣火锅荤素四盒装,128,0,389,四川 成都,https://detail.tmall.com/item.htm?id=556180190333&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅5盒方便懒人即食速食品自热网红自助一箱5人份,119,0,3880,安徽 合肥,https://detail.tmall.com/item.htm?id=582489578994&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅速食即食品5盒方便懒人自热网红自助一箱5人份,119,0,758,北京,https://detail.tmall.com/item.htm?id=602180249175&ns=1&abbucket=9&on_comment=1
小龙坎自热小火锅荤素搭配四盒装网红懒人自煮自助方便即食经典装,108.8,0,952,四川 成都,https://detail.tmall.com/item.htm?id=600863025595&ns=1&abbucket=9&on_comment=1
海底捞自煮火锅4盒一整箱礼盒装正品速食网红懒人自助自热小火锅,95.6,0,139,上海,https://detail.tmall.com/item.htm?id=601714312546&ns=1&abbucket=9&on_comment=1
海底捞自热小火锅4盒礼盒装一箱的网红速食自煮自助懒人火锅便携,95.2,0,818,上海,https://detail.tmall.com/item.htm?id=594911009978&ns=1&abbucket=9&on_comment=1
懒人火锅一箱小火锅速食网红自助套装荤菜版自热制热自然自燃有肉,79.8,0,279,四川 成都,https://detail.tmall.com/item.htm?id=569271724075&ns=1&abbucket=9&on_comment=1
德庄牛肉自热小火锅自热食品510g*2自煮自助方便懒人速食荤菜版,78.8,0,1464,重庆,https://detail.tmall.com/item.htm?id=574282812859&ns=1&abbucket=9&on_comment=1
自嗨锅麻辣牛肉+微麻辣肥牛170g*2自热小火锅方便懒人小火锅即食,76.9,5,25000,上海,https://detail.tmall.com/item.htm?id=583894077058&ns=1&abbucket=9&on_comment=1
自嗨锅速食小火锅懒人自煮自助方便重庆火锅网红麻辣牛肉自热火锅,76.9,7,2836,上海,https://detail.tmall.com/item.htm?id=566879811846&ns=1&abbucket=9&on_comment=1
海底捞番茄自煮组合含牛腩懒人自煮火锅、小酥肉方便速食小火锅,76.9,0,819,天津,https://detail.tmall.com/item.htm?id=582406220229&ns=1&abbucket=9&on_comment=1
海底捞麻辣嫩牛懒人自煮自热小火锅 方便速食即食火锅2盒装荤菜版,76.9,0,1355,天津,https://detail.tmall.com/item.htm?id=563747266470&ns=1&abbucket=9&on_comment=1
【海底捞】2盒番茄牛腩自煮火锅牛肉自热方便即食懒人速食小火锅,69.9,5,6000,上海,https://detail.tmall.com/item.htm?id=563800169290&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=9&on_comment=1
【直播中特惠】海底捞2盒麻辣嫩牛肉自热方便懒人小火锅自煮火锅,69.9,5,10000,上海,https://detail.tmall.com/item.htm?id=563801181215&ns=1&abbucket=9&on_comment=1
重庆牧哥自热网红麻辣烫便携方便即食自助懒人小火锅荤素五盒装,69.9,0,2824,重庆,https://detail.tmall.com/item.htm?id=595938593594&ns=1&abbucket=9&on_comment=1
德庄椒吱自热小火锅方便速食懒人即食钵钵鸡自助自煮烧烤麻辣网红,59.9,0,10000,四川 绵阳,https://detail.tmall.com/item.htm?id=564981957171&ns=1&abbucket=9&on_comment=1
【三只松鼠_方便速食大礼包4袋装/843g】休闲零食小吃自热小火锅,59.9,5,46,安徽 芜湖,https://detail.tmall.com/item.htm?id=604147961879&ns=1&abbucket=9&on_comment=1
网红麻辣牛肉牛杂自热火锅荤菜懒人小火锅自煮助便携即食速食4盒,59.8,0,1336,重庆,https://detail.tmall.com/item.htm?id=591557714814&ns=1&abbucket=9&on_comment=1
筷时尚方便火锅速食懒人麻辣自热自煮自助网红便携小火锅荤菜版嗨,58.8,0,5500,四川 成都,https://detail.tmall.com/item.htm?id=570973980459&ns=1&abbucket=9&on_comment=1
德庄自热小火锅自热食品自煮速食懒人小火锅自助即食方便火锅,58.8,0,808,重庆,https://detail.tmall.com/item.htm?id=574557898661&ns=1&abbucket=9&on_comment=1
小肥羊自热火锅组合香辣羊肉懒人速食即食自煮小火锅自助方便食品,54.5,0,256,上海,https://detail.tmall.com/item.htm?id=602927119990&ns=1&abbucket=9&on_comment=1
莫小仙懒人自热小火锅5盒装即食自助学生方便速食品5人份套餐一箱,49.9,0,1162,安徽 合肥,https://detail.tmall.com/item.htm?id=587371650267&ns=1&abbucket=9&on_comment=1
莫小仙重庆麻辣22度辣自热小火锅5盒方便懒人速食冒菜麻辣烫自助,49.5,0,3849,广东 深圳,https://detail.tmall.com/item.htm?id=594306221909&ns=1&abbucket=9&on_comment=1
海底捞自煮火锅自热小火锅2盒懒人速食网红即食自助方便便携一箱,47.6,0,25000,北京,https://detail.tmall.com/item.htm?id=559704922106&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅2盒 火锅速食 懒人火锅 自热网红麻辣嫩牛便携锅,47.6,0,1001,上海,https://detail.tmall.com/item.htm?id=575431437372&ns=1&abbucket=9&on_comment=1
满减【三只松鼠_素食小锅锅350g/盒】自热小火锅懒人自助方便速食,41.9,0,3382,安徽 芜湖,https://detail.tmall.com/item.htm?id=605922294089&ns=1&abbucket=9&on_comment=1
